fileID,adl,subject,session,original_duration,trimmed_duration,percent_removed,reduced_50_percent
429,11,2097,3,3.98,2.22,44.221105527638194,False
430,11,2097,4,2.8,2.26,19.285714285714285,False
431,11,2097,5,3.0,1.96,34.666666666666664,False
432,11,2115,1,13.82,4.52,67.29377713458756,True
433,11,2115,2,13.48,6.74,50.0,False
434,11,2115,3,14.72,9.48,35.59782608695652,False
435,11,2115,4,13.04,4.1,68.55828220858896,True
436,11,2115,5,13.02,8.1,37.78801843317972,False
437,11,2116,1,4.96,3.54,28.629032258064516,False
438,11,2116,2,4.03,2.72,32.50620347394541,False
439,11,2116,3,3.45,2.86,17.10144927536232,False
440,11,2116,4,4.06,3.78,6.896551724137931,False
441,11,2116,5,2.94,2.08,29.25170068027211,False
442,11,2136,1,3.87,2.36,39.01808785529716,False
443,11,2136,2,3.93,3.38,13.994910941475826,False
444,11,2136,3,3.85,3.44,10.64935064935065,False
445,11,2136,4,3.2,1.16,63.75,True
446,11,2136,5,4.6,3.46,24.782608695652176,False
447,11,2155,1,1.99,1.99,0.0,False
448,11,2155,2,1.75,1.75,0.0,False
449,11,2155,3,1.59,1.59,0.0,False
450,11,2155,4,2.76,2.76,0.0,False
451,11,2155,5,2.41,2.41,0.0,False
452,11,2159,1,7.35,4.38,40.40816326530612,False
453,11,2159,2,5.38,4.34,19.33085501858736,False
454,11,2159,3,5.93,4.2,29.17369308600337,False
455,11,2159,4,6.12,4.54,25.81699346405229,False
456,11,2159,5,6.59,4.66,29.28679817905918,False
457,11,2160,1,3.52,2.66,24.431818181818183,False
458,11,2160,2,3.21,2.5,22.118380062305295,False
459,11,2160,3,3.81,3.14,17.58530183727034,False
460,11,2160,4,2.24,1.72,23.214285714285715,False
461,11,2160,5,2.97,2.96,0.3367003367003367,False
462,12,0,1,5.07,1.98,60.946745562130175,True
463,12,0,2,4.75,3.74,21.263157894736842,False
464,12,0,3,4.33,2.22,48.729792147806,False
465,12,0,4,4.74,3.34,29.535864978902953,False
466,12,0,5,5.41,2.92,46.02587800369686,False
467,12,1125,1,3.05,2.48,18.688524590163933,False
468,12,1125,2,3.66,1.38,62.295081967213115,True
469,12,1125,3,2.9,1.18,59.310344827586206,True
470,12,1125,4,3.07,2.46,19.86970684039088,False
471,12,1125,5,3.45,2.66,22.89855072463768,False
472,12,1279,1,2.55,2.55,0.0,False
473,12,1279,2,2.47,1.98,19.838056680161944,False
474,12,1279,3,2.38,1.4,41.1764705882353,False
475,12,1279,4,2.59,1.52,41.31274131274131,False
476,12,1279,5,3.01,3.01,0.0,False
477,12,1313,1,3.5,1.36,61.142857142857146,True
478,12,1313,2,3.09,1.68,45.63106796116505,False
479,12,1313,3,4.46,1.52,65.91928251121077,True
480,12,1313,4,3.08,1.66,46.103896103896105,False
481,12,1313,5,3.99,1.88,52.88220551378446,True
482,12,1324,1,5.39,2.68,50.278293135435995,True
483,12,1324,2,4.84,2.82,41.735537190082646,False
484,12,1324,3,4.92,3.04,38.21138211382114,False
485,12,1324,4,4.78,2.4,49.7907949790795,False
486,12,1324,5,5.04,3.38,32.93650793650794,False
487,12,1358,1,2.35,1.9,19.148936170212767,False
488,12,1358,2,2.14,1.64,23.364485981308412,False
489,12,1358,3,2.04,2.04,0.0,False
490,12,1358,4,2.57,2.08,19.06614785992218,False
491,12,1358,5,2.31,1.08,53.246753246753244,True
492,12,1390,1,4.96,2.22,55.24193548387097,True
493,12,1390,2,3.72,1.88,49.46236559139785,False
494,12,1390,3,3.3,1.32,60.0,True
495,12,1390,4,3.42,3.42,0.0,False
496,12,1390,5,3.07,1.42,53.74592833876221,True
497,12,1396,1,1.62,1.62,0.0,False
498,12,1396,2,1.63,1.63,0.0,False
499,12,1396,3,1.34,1.34,0.0,False
500,12,1396,4,1.37,1.37,0.0,False
501,12,1396,5,1.47,1.47,0.0,False
502,12,1405,1,12.47,7.52,39.695268644747394,False
503,12,1405,2,13.75,11.12,19.12727272727273,False
504,12,1405,3,12.37,3.94,68.14874696847211,True
505,12,1405,4,12.77,10.3,19.342208300704776,False
506,12,1405,5,13.19,4.18,68.30932524639879,True
507,12,1435,1,2.43,1.46,39.91769547325103,False
508,12,1435,2,2.24,2.24,0.0,False
509,12,1435,3,2.02,1.3,35.64356435643565,False
510,12,1435,4,2.27,1.86,18.061674008810574,False
511,12,1435,5,2.63,1.96,25.475285171102662,False
512,12,1453,1,2.43,1.46,39.91769547325103,False
513,12,1453,2,2.24,2.24,0.0,False
514,12,1453,3,2.02,1.3,35.64356435643565,False
515,12,1453,4,2.27,1.86,18.061674008810574,False
516,12,1453,5,2.63,1.96,25.475285171102662,False
517,12,1505,1,2.76,1.56,43.47826086956522,False
518,12,1505,2,4.41,3.0,31.972789115646258,False
519,12,1505,3,2.03,1.3,35.960591133004925,False
520,12,1505,4,2.32,2.32,0.0,False
521,12,1505,5,2.26,2.26,0.0,False
522,12,1570,1,2.51,2.51,0.0,False
523,12,1570,2,3.83,2.32,39.425587467362924,False
524,12,1570,3,2.95,2.95,0.0,False
525,12,1570,4,2.75,1.78,35.27272727272727,False
526,12,1570,5,2.35,1.62,31.06382978723404,False
527,12,1697,1,3.83,3.12,18.5378590078329,False
528,12,1697,2,4.81,3.3,31.39293139293139,False
529,12,1697,3,4.59,3.06,33.333333333333336,False
530,12,1697,4,4.56,3.06,32.89473684210526,False
531,12,1697,5,4.26,3.02,29.107981220657276,False
532,12,1735,1,2.0,2.0,0.0,False
533,12,1735,2,2.0,2.0,0.0,False
534,12,1735,3,2.14,1.24,42.05607476635514,False
535,12,1735,4,4.18,3.0,28.229665071770334,False
536,12,1735,5,2.11,2.11,0.0,False
537,12,1751,1,14.54,6.42,55.84594222833562,True
538,12,1751,2,13.91,6.3,54.70884255930985,True
539,12,1751,3,13.7,5.26,61.605839416058394,True
540,12,1751,4,11.4,7.14,37.36842105263158,False
541,12,1751,5,14.96,12.76,14.705882352941176,False
542,12,1777,1,2.32,1.54,33.62068965517241,False
543,12,1777,2,2.89,2.78,3.8062283737024223,False
544,12,1777,3,2.8,2.26,19.285714285714285,False
545,12,1777,4,3.23,3.23,0.0,False
546,12,1777,5,2.86,2.86,0.0,False
547,12,1803,1,1.52,1.52,0.0,False
548,12,1803,2,2.5,1.94,22.4,False
549,12,1803,3,2.02,1.84,8.910891089108912,False
550,12,1803,4,2.39,1.82,23.84937238493724,False
551,12,1803,5,1.94,1.44,25.77319587628866,False
552,12,1825,1,5.63,3.14,44.227353463587924,False
553,12,1825,2,5.9,3.02,48.813559322033896,False
554,12,1825,3,8.52,5.52,35.2112676056338,False
555,12,1825,4,6.33,5.56,12.164296998420221,False
556,12,1825,5,6.64,3.1,53.31325301204819,True
557,12,1975,1,1.27,1.27,0.0,False
558,12,1975,2,1.19,1.19,0.0,False
559,12,1975,3,1.19,1.19,0.0,False
560,12,1975,4,1.37,1.37,0.0,False
561,12,1975,5,1.8,1.8,0.0,False
562,12,1978,1,2.42,2.42,0.0,False
563,12,1978,2,2.3,2.3,0.0,False
564,12,1978,3,2.62,1.12,57.25190839694657,True
565,12,1978,4,2.15,2.15,0.0,False
566,12,1978,5,1.8,1.8,0.0,False
567,12,2045,1,4.37,3.86,11.670480549199084,False
568,12,2045,2,2.39,2.04,14.644351464435147,False
569,12,2045,3,2.95,1.76,40.33898305084746,False
570,12,2045,4,3.02,2.34,22.516556291390728,False
571,12,2045,5,3.24,1.36,58.02469135802469,True
572,12,2056,1,8.85,8.18,7.570621468926554,False
573,12,2056,2,6.12,2.18,64.37908496732027,True
574,12,2056,3,5.11,2.22,56.55577299412916,True
575,12,2056,4,6.09,2.22,63.54679802955665,True
576,12,2056,5,7.28,2.84,60.989010989010985,True
577,12,2097,1,7.51,6.18,17.70972037283622,False
578,12,2097,2,2.64,2.64,0.0,False
579,12,2097,3,2.44,2.44,0.0,False
580,12,2097,4,4.03,3.0,25.558312655086848,False
581,12,2097,5,2.89,2.89,0.0,False
582,12,2115,1,11.84,8.52,28.04054054054054,False
583,12,2115,2,13.37,7.7,42.40837696335078,False
584,12,2115,3,14.23,8.82,38.01827125790583,False
585,12,2115,4,13.35,12.18,8.764044943820224,False
586,12,2115,5,14.24,9.14,35.81460674157304,False
587,12,2116,1,2.37,1.7,28.270042194092827,False
588,12,2116,2,2.57,1.82,29.182879377431906,False
589,12,2116,3,2.53,2.53,0.0,False
590,12,2116,4,2.61,1.86,28.735632183908045,False
591,12,2116,5,2.61,1.32,49.42528735632184,False
592,12,2136,1,3.24,3.24,0.0,False
593,12,2136,2,4.19,1.3,68.97374701670644,True
594,12,2136,3,4.77,2.98,37.526205450733755,False
595,12,2136,4,4.18,2.58,38.27751196172249,False
596,12,2136,5,3.81,2.12,44.356955380577425,False
597,12,2155,1,2.09,2.09,0.0,False
598,12,2155,2,2.98,1.28,57.04697986577181,True
599,12,2155,3,2.5,1.06,57.6,True
600,12,2155,4,2.62,2.62,0.0,False
601,12,2155,5,2.51,1.18,52.98804780876494,True
602,12,2159,1,4.25,2.52,40.705882352941174,False
603,12,2159,2,5.07,3.7,27.021696252465482,False
